regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
log_slow,0,0.1,wynn_eps_3,50000.0,0.41863546463489004,0.1033800736626996,1.0422400071619138,1.0,3
log_slow,0,0.1,wynn_rho_1,50000.0,0.41863546463489004,0.10145551823584775,1.0192758954704901,1.0,3
log_slow,0,0.1,wynn_rho_2,50000.0,0.41863546463489004,0.10244431903525089,1.0294503677958893,1.0,3
log_slow,0,0.1,wynn_rho_3,50000.0,0.41863546463489004,0.10281542840223504,1.0405710799565706,1.0,3
log_slow,0,0.1,pade_11,50000.0,0.41863546463489004,0.05773034620634113,0.5622405957818322,1.0,3
log_slow,0,0.1,pade_12,50000.0,0.41863546463489004,0.12675169541642534,1.2393286304609754,1.0,3
log_slow,0,0.1,pade_13,50000.0,0.41863546463489004,0.12805223102486007,1.2497296817415848,1.0,3
log_slow,0,0.1,pade_21,50000.0,0.41863546463489004,,,0.0,3
log_slow,0,0.1,pade_22,50000.0,0.41863546463489004,0.05571533031455676,0.5713400042267929,1.0,3
log_slow,0,0.1,pade_23,50000.0,0.41863546463489004,0.12684757038294767,1.2416535581383354,1.0,3
log_slow,0,0.1,pade_31,50000.0,0.41863546463489004,,,0.0,3
log_slow,0,0.1,pade_32,50000.0,0.41863546463489004,182.77253503712294,2177.871340312986,0.0,3
log_slow,0,0.1,levin_t1,50000.0,0.41863546463489004,0.10113765673338648,1.0172296135218033,1.0,3
log_slow,0,0.1,levin_t2,50000.0,0.41863546463489004,0.10181665248997061,1.0206786324176529,1.0,3
log_slow,0,0.1,levin_u1,50000.0,0.41863546463489004,0.10113560466332899,1.0172585492813027,1.0,3
log_slow,0,0.1,levin_u2,50000.0,0.41863546463489004,0.10183144480755715,1.0206058121853592,1.0,3
log_slow,0,0.1,levin_v1,50000.0,0.41863546463489004,0.10369469412067854,1.027403409235181,1.0,3
log_slow,0,0.1,levin_v2,50000.0,0.41863546463489004,0.10285121695415822,1.0266214505092552,1.0,3
log_slow,0,0.1,weniger_d1,50000.0,0.41863546463489004,0.1280493439962557,1.249701505199306,1.0,3
log_slow,0,0.1,weniger_d2,50000.0,0.41863546463489004,0.1280493439962614,1.249701505199361,1.0,3
log_slow,0,0.1,brezinski_theta1,50000.0,0.41863546463489004,0.09837028283603144,1.0188122178562482,1.0,3
log_slow,0,0.1,brezinski_theta2,50000.0,0.41863546463489004,0.10501622603723118,1.0642797308276568,1.0,3
log_slow,0,0.1,neville_2,50000.0,0.41863546463489004,8.667781372449154,86.97027269411002,0.5667,3
