regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
two_exp,150,log_fit,parametric,trajectory,0.04360276,0.10894969,0.15422938,0.11062663,1,0,0,0.590698
two_exp,150,shanks_1,shanks,limit,0.04360276,0.10894969,0.01002144,0.03358132,1,0,1,1.945931
two_exp,150,shanks_2,shanks,limit,0.04360276,0.10894969,0.00999999,0.03360276,1,0,1,1.944689
two_exp,150,shanks_3,shanks,limit,0.04360276,0.10894969,0.01,0.03360276,1,0,1,1.94469
two_exp,150,shanks_4,shanks,limit,0.04360276,0.10894969,0.01,0.03360276,1,0,1,1.94469
two_exp,150,wynn_eps_1,wynn_eps,limit,0.04360276,0.10894969,0.01002144,0.03358132,1,0,1,1.945931
two_exp,150,wynn_eps_2,wynn_eps,limit,0.04360276,0.10894969,0.01,0.03360276,1,0,1,1.94469
two_exp,150,wynn_eps_3,wynn_eps,limit,0.04360276,0.10894969,0.01,0.03360276,1,0,1,1.94469
two_exp,150,wynn_rho_1,wynn_rho,limit,0.04360276,0.10894969,-0.09070408,0.13430684,1,0,0,0.48655
two_exp,150,wynn_rho_2,wynn_rho,limit,0.04360276,0.10894969,0.12085374,0.07725099,1,0,0,0.845904
two_exp,150,wynn_rho_3,wynn_rho,limit,0.04360276,0.10894969,0.06635546,0.0227527,1,0,1,2.872051
two_exp,150,pade_11,pade,trajectory,0.04360276,0.10894969,0.02994697,0.01365579,1,0,1,4.785292
two_exp,150,pade_12,pade,trajectory,0.04360276,0.10894969,0.03898307,0.00461968,1,0,1,14.145325
two_exp,150,pade_13,pade,trajectory,0.04360276,0.10894969,0.04404243,0.00043967,1,0,1,148.627159
two_exp,150,pade_21,pade,trajectory,0.04360276,0.10894969,0.04274024,0.00086251,1,0,1,75.763289
two_exp,150,pade_22,pade,trajectory,0.04360276,0.10894969,-0.03874332,0.08234608,1,0,0,0.793565
two_exp,150,pade_23,pade,trajectory,0.04360276,0.10894969,0.0426199,0.00098286,1,0,1,66.48652
two_exp,150,pade_31,pade,trajectory,0.04360276,0.10894969,0.05448371,0.01088096,1,0,1,6.005624
two_exp,150,pade_32,pade,trajectory,0.04360276,0.10894969,0.04674047,0.00313771,1,0,1,20.826293
two_exp,150,levin_t1,levin,limit,0.04360276,0.10894969,0.01002144,0.03358132,1,0,1,1.945931
two_exp,150,levin_t2,levin,limit,0.04360276,0.10894969,0.0099374,0.03366536,1,0,1,1.941073
two_exp,150,levin_u1,levin,limit,0.04360276,0.10894969,-0.15622191,0.19982467,1,0,0,0.327021
two_exp,150,levin_u2,levin,limit,0.04360276,0.10894969,0.00983015,0.03377261,1,0,1,1.934909
two_exp,150,levin_v1,levin,limit,0.04360276,0.10894969,0.00982661,0.03377615,1,0,1,1.934707
two_exp,150,levin_v2,levin,limit,0.04360276,0.10894969,0.01049914,0.03310361,1,0,1,1.974012
two_exp,150,weniger_d1,weniger,limit,0.04360276,0.10894969,-0.0,0.04360276,1,0,1,1.498688
two_exp,150,weniger_d2,weniger,limit,0.04360276,0.10894969,0.0,0.04360276,1,0,1,1.498688
two_exp,150,brezinski_theta1,brezinski,limit,0.04360276,0.10894969,0.00819152,0.03541124,1,0,1,1.845373
two_exp,150,brezinski_theta2,brezinski,limit,0.04360276,0.10894969,0.02823034,0.01537242,1,0,1,4.250922
two_exp,150,neville_2,neville,trajectory,0.04360276,0.10894969,0.0398051,0.00379766,1,0,1,17.207174
two_exp,150,neville_3,neville,trajectory,0.04360276,0.10894969,0.04161841,0.00198435,1,0,1,32.931215
two_exp,150,neville_4,neville,trajectory,0.04360276,0.10894969,0.04291009,0.00069267,1,0,1,94.340998
