method,family,method_type,is_trivial,is_oracle,regime_set,target_g,valid_rate,cat_rate,beats_rate,med_error,med_improve,med_skill,stability,n_regimes,n_cells,n_capped_excluded,rank,rank_eligible
pade_13,pade,trajectory,0,0,core,0.5,0.9901,0.0963,0.5204,0.03653386379928135,1.2679558723935689,1.2074137310645332,1.0057,18,54,0,13.0,1
richardson_a10,richardson,trajectory,0,0,core,0.5,1.0,0.0049,0.7864,0.04087959267889574,1.63896152637099,0.6137253782970609,1.3047,18,54,0,14.0,1
median_ensemble,ensemble,trajectory,0,0,core,0.5,1.0,0.0068,0.642,0.0434704596039338,1.0024709575233754,1.0318072786184238,1.2432,18,54,0,15.0,1
brezinski_theta1,brezinski,limit,0,0,core,0.5,1.0,0.037,0.5463,0.04817891867885264,1.0481369705702979,1.017750791878545,1.1444,18,54,0,16.0,1
window_min,trivial,limit,1,0,core,0.5,1.0,0.0401,0.3907,0.04838238160912816,1.0,1.0,1.076,18,54,0,17.0,1
levin_t1,levin,limit,0,0,core,0.5,0.9815,0.0321,0.6037,0.049017179097302035,1.0008408485760896,1.0396799457514083,1.1588,18,54,0,18.0,1
wynn_eps_1,wynn_eps,limit,0,0,core,0.5,0.9815,0.0321,0.6037,0.04901717909730205,1.0008408485760896,1.0396799457514072,1.1588,18,54,0,19.0,1
wynn_eps_2,wynn_eps,limit,0,0,core,0.5,0.9704,0.0475,0.4877,0.049038618415944854,0.9816324807248167,1.0778483897752313,1.0704,18,54,0,20.0,1
log_fit,parametric,trajectory,0,0,core,0.5,1.0,0.0475,0.6266,0.04929159718989043,1.33166466742607,0.9685854934100795,1.1556,18,54,0,21.0,1
stability_weighted,ensemble,trajectory,0,0,core,0.5,1.0,0.0191,0.5463,0.04933499956476649,1.003600620444645,1.0469116876962965,1.1802,18,54,0,22.0,1
best_shanks_wynn,ensemble,limit,0,0,core,0.5,1.0,0.0136,0.6037,0.049414264162951964,1.000807582527306,1.0434133862189376,1.2143,18,54,0,23.0,1
shanks_1,shanks,limit,0,0,core,0.5,1.0,0.0136,0.6037,0.049414264162951964,1.000807582527306,1.0434133862189376,1.2143,18,54,0,24.0,1
levin_t2,levin,limit,0,0,core,0.5,0.9809,0.0401,0.4741,0.04974619921401326,0.9878839567150495,1.0507102136565085,1.0902,18,54,0,25.0,1
wynn_eps_3,wynn_eps,limit,0,0,core,0.5,0.9605,0.0574,0.4981,0.05066954817181575,0.987210286822905,1.079623957277151,1.0449,18,54,0,26.0,1
shanks_2,shanks,limit,0,0,core,0.5,0.9994,0.0216,0.3309,0.05409270201671862,0.9647362829193538,1.0906942030145976,1.0885,18,54,0,27.0,1
shanks_3,shanks,limit,0,0,core,0.5,1.0,0.0173,0.3951,0.055284716205744946,0.974738551259823,1.092573093052701,1.1235,18,54,0,28.0,1
shanks_4,shanks,limit,0,0,core,0.5,0.9815,0.0364,0.3846,0.057041242806072645,0.9714478346639022,1.0980703893346986,1.0625,18,54,0,29.0,1
brezinski_theta2,brezinski,limit,0,0,core,0.5,0.979,0.0877,0.3278,0.057893732386181534,0.9074343374117351,1.1400840929072134,0.9348,18,54,0,30.0,1
constant_oracle,trivial,limit,1,1,core,0.5,1.0,0.0012,0.7278,0.0579106984855413,1.0047507099113098,0.999841565701157,1.2886,18,54,0,,0
wynn_rho_1,wynn_rho,limit,0,0,core,0.5,0.9809,0.0321,0.421,0.059814056557155215,0.9951392534925609,1.0600328423045733,1.0851,18,54,0,31.0,1
wynn_rho_2,wynn_rho,limit,0,0,core,0.5,0.9802,0.0525,0.4654,0.06181512585109551,0.999947248141105,1.0779736940950504,1.0615,18,54,0,32.0,1
levin_v2,levin,limit,0,0,core,0.5,0.9809,0.0407,0.4179,0.06569477171684861,0.9733620529562466,1.0935023887384527,1.0665,18,54,0,33.0,1
levin_u2,levin,limit,0,0,core,0.5,0.9815,0.0574,0.3988,0.06582553430815093,0.9837570050901051,1.0676661122106768,1.0262,18,54,0,34.0,1
wynn_rho_3,wynn_rho,limit,0,0,core,0.5,0.9753,0.071,0.4358,0.06604021265507361,0.9871847775527227,1.091884089530093,1.0077,18,54,0,35.0,1
levin_u1,levin,limit,0,0,core,0.5,0.9815,0.0685,0.4136,0.06648335007706756,1.0004333895929456,1.0786878156040385,1.0099,18,54,0,36.0,1
anderson_3,anderson,limit,0,0,core,0.5,1.0,0.0099,0.5401,0.06685551285298913,0.9988784642272402,1.0435674118059948,1.1963,18,54,0,37.0,1
levin_v1,levin,limit,0,0,core,0.5,0.9815,0.0586,0.2765,0.06733006116708865,0.9648713610481642,1.0960974983439868,0.9748,18,54,0,38.0,1
anderson_2,anderson,limit,0,0,core,0.5,1.0,0.0093,0.5679,0.06792415063952255,1.0002240899483854,1.0380164497960103,1.2086,18,54,0,39.0,1
current_value,baseline,limit,0,0,core,0.5,1.0,0.0,0.0,0.06904804753948152,1.0,1.020702253377967,1.0,18,54,0,40.0,1
last_value,trivial,limit,1,0,core,0.5,1.0,0.0,0.0,0.06904804753948152,1.0,1.020702253377967,1.0,18,54,0,41.0,1
anderson_1,anderson,limit,0,0,core,0.5,1.0,0.0136,0.6037,0.0690702144530662,1.0007993562956345,1.0428761271395153,1.2143,18,54,0,42.0,1
richardson_a20,richardson,trajectory,0,0,core,0.5,1.0,0.0056,0.5821,0.0753687957681743,1.022038689935121,1.0483004938194176,1.2217,18,54,0,43.0,1
pade_32,pade,trajectory,0,0,core,0.5,0.9358,0.3377,0.3401,0.10456604893678087,0.4888155126124774,2.932293589022556,0.3965,18,54,0,44.0,1
window_mean,trivial,limit,1,0,core,0.5,1.0,0.0648,0.1969,0.10664716580345789,0.5861981638916837,1.7921311882605364,0.9491,18,54,0,45.0,1
constant_assumed,trivial,limit,1,0,core,0.5,1.0,0.2512,0.0395,0.10941359339154792,0.5069671720110361,2.3133076772509487,0.5134,18,54,0,46.0,1
weniger_d1,weniger,limit,0,0,core,0.5,0.979,0.2722,0.0272,0.11574219891820359,0.5015571677056154,2.3426370891950006,0.4455,18,54,0,47.0,1
weniger_d2,weniger,limit,0,0,core,0.5,0.9852,0.2654,0.0296,0.11574219891820359,0.5069671720092591,2.3133076772509487,0.4662,18,54,0,48.0,1
linear,baseline,trajectory,0,0,core,0.5,0.9444,0.2982,0.0753,0.1925007007557979,0.3559238675738386,3.1052300691266623,0.3783,18,54,0,49.0,1
pade_21,pade,trajectory,0,0,core,0.5,0.9216,0.3519,0.3123,0.1934380633163731,0.46388442462902224,2.7107470515563,0.3428,18,54,0,50.0,1
pade_31,pade,trajectory,0,0,core,0.5,0.8895,0.5265,0.2698,0.20063301827217608,0.2474370577816256,5.6735929510109475,-0.0557,18,54,0,,0
neville_2,neville,trajectory,0,0,core,0.5,0.7056,0.7191,0.2438,1.2617741157352076,0.019343483536213513,61.826478434756226,-0.6352,18,54,0,,0
