regime,is_holdout,target_g,n_f,achieved_g,capped,best_by_skill,best_skill,family,method_type,skill_best_med_error,skill_best_valid_rate,skill_best_cat_rate,best_by_stability,stab_best_stability,stab_best_med_error,oracle_med_error
inv_sqrt_log,1,0.02,41315.0,0.01999971499676627,0,pade_22,0.11732935183792217,pade,trajectory,0.0023949592398054657,1.0,0.0222,richardson_a10,1.4,0.007857458205188596,0.00041657102590975277
random_knots,1,0.5,298.0,0.4993772917839292,0,richardson_1,0.1898343768700113,richardson,trajectory,0.004282003891812429,1.0,0.0,richardson_a10,1.3956,0.010737736618367022,0.02892612059700698
random_knots,1,0.1,3850.5,0.09999200690706728,1,neville_4,0.2537905513409775,neville,trajectory,0.007063004939843831,0.3333,0.6667,rational_fit,1.4,0.012176617288610652,0.005793211068421594
random_knots,1,0.02,45170.0,0.019999959700459716,1,neville_4,0.2830340358231819,neville,trajectory,0.009193361465447279,0.3333,0.6667,rational_fit,1.4,0.01480897167515082,0.0017358797955380895
real_boot_a,1,0.5,125.0,0.4970613452560541,0,rational_fit,0.020732670933869407,parametric,trajectory,0.0003792309838415095,1.0,0.0,richardson_a10,1.4,0.0017983641468566625,0.018731316278949806
real_boot_a,1,0.1,209.0,0.09859818176108498,0,richardson_a10,0.044648868839297064,richardson,trajectory,0.001303752339176352,1.0,0.0,richardson_a10,1.4,0.001303752339176352,0.0037155850977405452
real_boot_a,1,0.02,273.0,0.019982041391979923,0,richardson_a10,0.134715744572233,richardson,trajectory,0.004661719654814805,1.0,0.0,richardson_2,1.4,0.004594672822101349,0.000753005520917005
real_boot_b,1,0.5,151.0,0.49684018628925675,0,pade_13,0.10723058503204784,pade,trajectory,0.0046304560830736675,1.0,0.0,rational_fit,1.4,0.0063300992034627315,0.042288065521957505
real_boot_b,1,0.1,335.0,0.09918842288666796,0,rational_fit,0.23218132528671476,parametric,trajectory,0.011474078573953566,1.0,0.0,log_linear,1.4,0.009847175645957551,0.008442325403221398
real_boot_b,1,0.02,444.0,0.019968544279180225,0,rational_fit,0.24867855839503716,parametric,trajectory,0.011548086134634504,1.0,0.0,rational_fit,1.4,0.011548086134634504,0.0016996030759163713
