regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
log_oscillatory,0,60,0.1,pade_22,50000.0,0.29321751930860546,0.02120527956448698,0.2295456095886637,60
log_oscillatory,0,60,0.1,log_linear,50000.0,0.29321751930860546,0.07575171739927505,0.6786080763833416,60
log_oscillatory,0,60,0.1,levin_t2,50000.0,0.29321751930860546,0.16575021434988046,1.682584908277075,60
log_oscillatory,0,60,0.1,anderson_1,50000.0,0.29321751930860546,0.1581306961828369,1.91487051926507,60
log_oscillatory,0,60,0.1,constant_assumed,50000.0,0.29321751930860546,0.11757721977593429,1.0609411234512511,60
log_oscillatory,0,60,0.1,last_value,50000.0,0.29321751930860546,0.14788156614365594,1.5521195096230134,60
log_oscillatory,0,60,0.1,window_mean,50000.0,0.29321751930860546,0.21015303688904247,2.195831458062881,60
log_oscillatory,0,60,0.1,window_min,50000.0,0.29321751930860546,0.11364146002337137,1.0,60
log_oscillatory,0,60,0.02,current_value,50000.0,0.29321751930860546,0.14788156614365594,1.5521195096230134,60
log_oscillatory,0,60,0.02,richardson_1,50000.0,0.29321751930860546,0.07264497388201721,0.6559290849893359,60
log_oscillatory,0,60,0.02,richardson_a10,50000.0,0.29321751930860546,0.16647210176238667,1.7562757002848643,60
log_oscillatory,0,60,0.02,single_exp_fit,50000.0,0.29321751930860546,0.14528743699674562,1.5627552993127873,60
log_oscillatory,0,60,0.02,rational_fit,50000.0,0.29321751930860546,0.08629160544988784,0.9455025659701612,60
log_oscillatory,0,60,0.02,pade_22,50000.0,0.29321751930860546,0.02120527956448698,0.2295456095886637,60
log_oscillatory,0,60,0.02,log_linear,50000.0,0.29321751930860546,0.07575171739927505,0.6786080763833416,60
log_oscillatory,0,60,0.02,levin_t2,50000.0,0.29321751930860546,0.16575021434988046,1.682584908277075,60
log_oscillatory,0,60,0.02,anderson_1,50000.0,0.29321751930860546,0.1581306961828369,1.91487051926507,60
log_oscillatory,0,60,0.02,constant_assumed,50000.0,0.29321751930860546,0.11757721977593429,1.0609411234512511,60
log_oscillatory,0,60,0.02,last_value,50000.0,0.29321751930860546,0.14788156614365594,1.5521195096230134,60
log_oscillatory,0,60,0.02,window_mean,50000.0,0.29321751930860546,0.21015303688904247,2.195831458062881,60
log_oscillatory,0,60,0.02,window_min,50000.0,0.29321751930860546,0.11364146002337137,1.0,60
broken_power_law,0,60,0.02,current_value,50000.0,0.06831883593871105,0.1439545407538475,15.115613461023282,60
broken_power_law,0,60,0.02,richardson_1,50000.0,0.06831883593871105,0.022777906508224262,2.4650132583459414,60
broken_power_law,0,60,0.02,richardson_a10,50000.0,0.06831883593871105,0.01753056040891289,1.840755932453367,60
broken_power_law,0,60,0.02,single_exp_fit,50000.0,0.06831883593871105,0.025582196394537182,2.6861967014621833,60
broken_power_law,0,60,0.02,rational_fit,50000.0,0.06831883593871105,0.0006775003199008915,0.07779922355540259,60
broken_power_law,0,60,0.02,pade_22,50000.0,0.06831883593871105,0.01359003405670392,2.9506976869046064,60
broken_power_law,0,60,0.02,log_linear,50000.0,0.06831883593871105,0.05680475400915899,6.872398592761992,60
broken_power_law,0,60,0.02,levin_t2,50000.0,0.06831883593871105,0.009542519506853225,1.0019901807509508,60
broken_power_law,0,60,0.02,anderson_1,50000.0,0.06831883593871105,0.009828984799134771,1.0320698059260374,60
broken_power_law,0,60,0.02,constant_assumed,50000.0,0.06831883593871105,0.049361440175231835,6.766150184312076,60
broken_power_law,0,60,0.02,last_value,50000.0,0.06831883593871105,0.1439545407538475,15.115613461023282,60
broken_power_law,0,60,0.02,window_mean,50000.0,0.06831883593871105,0.05391336807053526,5.661048466192994,60
broken_power_law,0,60,0.02,window_min,50000.0,0.06831883593871105,0.009523565889339846,1.0,60
random_knots,1,60,0.02,current_value,50000.0,0.03510158280603727,0.08950196374138847,3.554367545815631,30
random_knots,1,60,0.02,richardson_1,50000.0,0.03510158280603727,0.013083426812348404,0.7225226637310127,30
random_knots,1,60,0.02,richardson_a10,50000.0,0.03510158280603727,0.13755554865200226,2.8428876691496234,30
random_knots,1,60,0.02,single_exp_fit,50000.0,0.03510158280603727,0.12053813281054725,3.418158344287071,30
random_knots,1,60,0.02,rational_fit,50000.0,0.03510158280603727,0.07059515988301349,1.1085695050797857,30
random_knots,1,60,0.02,pade_22,50000.0,0.03510158280603727,0.058085130019035536,1.1151590851063524,30
random_knots,1,60,0.02,log_linear,50000.0,0.03510158280603727,0.016863849584304428,0.8165295622936354,30
