regime,obs_idx,noise,future_idx,richardson_stability,richardson_rank,best_method,best_stability,stability_margin,richardson_wins
mixed_pow_rat,90,0.02,5000,1.4,4,log_linear,1.4,0.0,0
mixed_pow_rat,100,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,100,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,100,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,100,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,100,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,110,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,110,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,110,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,110,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,110,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,120,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,120,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,120,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,120,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,120,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,130,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,130,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,130,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,130,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,130,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,140,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,140,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,140,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,140,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,140,0.02,5000,1.4,5,log_linear,1.4,0.0,0
