regime,obs_idx,noise,seed,L_true,L_hat,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv
multiphase,20,0.0,2,0.030233874430995185,0.0,-0.2148157223484007,0.0030273671576937643,0.0,9.630887144111515e-08,0.8934280583464678,0.0044706186848651845
osc_exp,20,0.0,2,0.013508004829999419,0.0,-0.32024478194170924,0.004937059254212829,0.0,3.245260646344143e-06,0.8660124770398221,0.016250094460561568
damped_osc_pow,20,0.0,2,0.025819121789920785,0.0,-0.4697388688600127,0.015339535337611251,0.0,0.00019723105477764777,0.992598300201982,0.051534093231427845
log_slow,20,0.0,2,0.008225430395987554,0.0,-0.2924404053376654,0.014128222779714619,0.0,7.853331387767419e-05,0.9977907428119447,0.037280448832602495
delayed_plateau,20,0.0,2,0.005065390365295402,0.0,-0.10843535978452724,0.005373067519247177,0.0,5.009426740176087e-07,0.9577638561735615,0.006634605011305322
staircase,20,0.0,2,0.3676647265987248,0.0,-0.010603622354152749,0.055555555555555185,0.0,0.001180555555555554,-1.0718915141627554,0.03160547294616969
noisy_plateau,20,0.0,2,0.18631246038362953,0.0,-0.0236340882719724,0.29951457733601905,0.6666666666666666,2.1226138386923167e-05,-0.26338491238184547,0.013628539476794408
slow_osc_power,20,0.0,2,0.287026244776813,0.0,-0.22205384089270877,0.02015644306573179,0.0,0.0002099334814302275,0.9573552209923013,0.04854411279163262
log_oscillatory,20,0.0,2,0.005814764174600379,0.0,-0.275029237382291,0.010896761553033714,0.0,6.943344411443538e-05,0.9640303821500587,0.025222148174965375
heavy_noise_plat,20,0.0,2,0.025976481479225853,0.0,-0.33178765988819553,0.1986806671648938,0.6111111111111112,0.000245174245663069,0.7738206833654556,0.1775516458187376
broken_power_law,20,0.0,2,0.005470342441899487,0.0,-0.7052576792197647,0.018971191129169434,0.0,0.00022443256406607574,0.9927373706656301,0.0760955131502247
single_exp,20,0.0,3,0.12433349317004191,0.0,-0.21765235363923632,0.0021002632892353403,0.0,2.7710444634438445e-08,0.8687202285739136,0.0014130301628979582
two_exp,20,0.0,3,0.2629353883248766,0.0,-0.16116120520942562,0.004892909961084994,0.0,1.3344459340876254e-06,0.9448079980487871,0.008278718789630537
three_exp,20,0.0,3,0.4045797745098193,0.0,-0.14293438740230746,0.006769751811454569,0.0,5.266794307319181e-06,0.9728146079131371,0.010894474965031115
four_exp,20,0.0,3,0.045340565932713586,0.0,-0.1953867474657042,0.00711255789411609,0.0,5.048432298922616e-06,0.9643269287014892,0.013449460684362476
power_law,20,0.0,3,0.008503255864551678,0.0,-0.5484241683866078,0.01654626755616021,0.0,0.00016593882066323162,0.9925206981301974,0.05970354164564723
rational_decay,20,0.0,3,0.009076569645228526,0.0,-0.1962365149522127,0.003145489987595254,0.0,2.151110914399851e-07,0.9005236737447123,0.004582690901127555
mixed_pow_rat,20,0.0,3,0.08113214121962016,0.0,-0.1871115154074273,0.010550297790121538,0.0,2.5484806864204064e-05,0.987274115216828,0.019059143882439924
multiphase,20,0.0,3,0.020036199140009828,0.0,-0.21878351769559207,0.0030273671576937643,0.0,9.630887144111515e-08,0.8925232696328583,0.004455461939899147
osc_exp,20,0.0,3,0.0202616247461588,0.0,-0.3161844170199828,0.0049370592542128285,0.0,3.245260646344146e-06,0.8669102904296385,0.016083465027118965
