regime,obs_idx,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,n
log_oscillatory,30,0.02,constant_oracle,50000.0,0.3324862235710625,0.06135051046213941,0.5331031396911471,5
broken_power_law,30,0.1,current_value,50000.0,0.2901576654864911,0.025824169247735472,1.1969618328123728,5
broken_power_law,30,0.1,richardson_1,50000.0,0.2901576654864911,0.04456309904555142,2.003613378761454,5
broken_power_law,30,0.1,richardson_a10,50000.0,0.2901576654864911,0.028944913055687565,1.318502282207541,5
broken_power_law,30,0.1,single_exp_fit,50000.0,0.2901576654864911,0.03953965199451769,1.8049386422121494,5
broken_power_law,30,0.1,rational_fit,50000.0,0.2901576654864911,0.0039927485896603995,0.16919582779117948,5
broken_power_law,30,0.1,pade_22,50000.0,0.2901576654864911,0.008745541487406564,0.3386572247233133,5
broken_power_law,30,0.1,log_linear,50000.0,0.2901576654864911,0.048095583106632644,2.134171771917122,5
broken_power_law,30,0.1,weniger_d2,50000.0,0.2901576654864911,0.04936144017523178,2.187846303188102,5
broken_power_law,30,0.1,anderson_1,50000.0,0.2901576654864911,0.026576795708099107,1.3016021294254354,5
broken_power_law,30,0.1,constant_assumed,50000.0,0.2901576654864911,0.049361440175231835,2.187846303188102,5
broken_power_law,30,0.1,constant_oracle,50000.0,0.2901576654864911,0.010555978838859122,0.4873638998299855,5
broken_power_law,30,0.02,current_value,50000.0,0.2901576654864911,0.025824169247735472,1.1969618328123728,5
broken_power_law,30,0.02,richardson_1,50000.0,0.2901576654864911,0.04456309904555142,2.003613378761454,5
broken_power_law,30,0.02,richardson_a10,50000.0,0.2901576654864911,0.028944913055687565,1.318502282207541,5
broken_power_law,30,0.02,single_exp_fit,50000.0,0.2901576654864911,0.03953965199451769,1.8049386422121494,5
broken_power_law,30,0.02,rational_fit,50000.0,0.2901576654864911,0.0039927485896603995,0.16919582779117948,5
broken_power_law,30,0.02,pade_22,50000.0,0.2901576654864911,0.008745541487406564,0.3386572247233133,5
broken_power_law,30,0.02,log_linear,50000.0,0.2901576654864911,0.048095583106632644,2.134171771917122,5
broken_power_law,30,0.02,weniger_d2,50000.0,0.2901576654864911,0.04936144017523178,2.187846303188102,5
broken_power_law,30,0.02,anderson_1,50000.0,0.2901576654864911,0.026576795708099107,1.3016021294254354,5
broken_power_law,30,0.02,constant_assumed,50000.0,0.2901576654864911,0.049361440175231835,2.187846303188102,5
broken_power_law,30,0.02,constant_oracle,50000.0,0.2901576654864911,0.010555978838859122,0.4873638998299855,5
