assumed_mode,method,target_g,noise,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
winmin,stability_weighted,0.5,0.02,core,0,1.0,0.05,0.050855477407317315,2.5511796451957425,360,1.6115,0.3389,0.9529,0.5444,0.5652,0.8083,1.3418,0.3667
winmin,stability_weighted,0.5,0.02,holdout,0,1.0,0.0417,0.04025237389338858,2.7392231306114807,120,2.1581,0.325,0.9636,0.5333,0.384,0.9,1.5341,0.2583
winmin,median_ensemble,0.5,0.02,core,0,1.0,0.0222,0.05730277363651444,2.2824236090216523,360,1.6527,0.3472,0.9194,0.6194,0.5676,0.85,1.2814,0.3472
winmin,median_ensemble,0.5,0.02,holdout,0,1.0,0.025,0.0357724952377443,2.4390488281234513,120,1.8667,0.325,0.9015,0.6,0.3691,0.975,1.3593,0.3167
winmin,constant_assumed,0.5,0.02,core,0,1.0,0.0917,0.02719438725654738,1.0,360,1.0,0.0,0.6077,0.7083,0.2997,0.7861,0.7722,0.5889
winmin,constant_assumed,0.5,0.02,holdout,0,1.0,0.0917,0.020004840544019437,1.0,120,1.0,0.0,0.5084,0.7167,0.2244,0.8083,0.7203,0.6167
winmin,richardson_1,0.1,0.02,core,40,1.0,0.1156,0.03308461879257641,0.7788223522634308,320,0.573,0.6469,0.4123,0.7906,0.2612,0.8313,0.4685,0.6906
winmin,richardson_1,0.1,0.02,holdout,1,1.0,0.0168,0.016871588493497146,0.845413084405253,119,0.7423,0.5882,0.3157,0.7311,0.1989,0.9664,0.516,0.605
winmin,richardson_2,0.1,0.02,core,40,1.0,0.1125,0.028017184018210902,0.9267113102549623,320,0.6213,0.6312,0.433,0.7625,0.2386,0.8063,0.5237,0.6594
winmin,richardson_2,0.1,0.02,holdout,1,1.0,0.0252,0.02303904568818128,1.2965195310663078,119,0.8696,0.5462,0.4596,0.7059,0.2496,0.9244,0.6581,0.5798
winmin,richardson_3,0.1,0.02,core,40,0.9969,0.1187,0.02551453850071911,0.9593377386238797,320,0.5903,0.6281,0.4228,0.7562,0.2303,0.7906,0.5454,0.65
winmin,richardson_3,0.1,0.02,holdout,1,1.0,0.0252,0.023889655186321867,1.226969013253324,119,0.898,0.5294,0.4323,0.6975,0.2697,0.916,0.6754,0.5882
winmin,single_exp_fit,0.1,0.02,core,40,1.0,0.0281,0.039549774321562925,1.182463021025881,320,0.9115,0.55,0.5792,0.85,0.4084,0.8719,0.8043,0.625
winmin,single_exp_fit,0.1,0.02,holdout,1,1.0,0.042,0.028028098815220514,1.284778081579258,119,1.0,0.5126,0.5344,0.8151,0.366,0.9496,0.8523,0.5966
winmin,double_exp_fit,0.1,0.02,core,40,0.9969,0.0312,0.029033656026509452,1.1357770101684257,320,0.8727,0.5781,0.5433,0.8313,0.3995,0.8844,0.7719,0.6344
winmin,double_exp_fit,0.1,0.02,holdout,1,1.0,0.0504,0.029337969083537682,1.2847888215621381,119,1.0,0.5294,0.5548,0.7899,0.3694,0.9328,0.8528,0.5882
winmin,rational_fit,0.1,0.02,core,40,1.0,0.05,0.02895197712945717,0.9266910448894625,320,0.607,0.65,0.4191,0.8219,0.2589,0.8187,0.4867,0.6687
winmin,rational_fit,0.1,0.02,holdout,1,1.0,0.0252,0.017369318655408198,0.8950125915951084,119,0.7624,0.5966,0.3452,0.7479,0.202,0.9496,0.5669,0.6134
winmin,log_fit,0.1,0.02,core,40,1.0,0.0594,0.06876316365811252,1.377227647527982,320,1.222,0.4094,0.6835,0.65,0.5446,0.9125,1.0403,0.4719
winmin,log_fit,0.1,0.02,holdout,1,1.0,0.0084,0.049398504692632045,1.8125664588408974,119,1.4108,0.3697,0.8406,0.5714,0.5388,0.9748,1.2828,0.4118
winmin,log_linear,0.1,0.02,core,40,0.8844,0.1437,0.07082493448409768,1.0731933442639872,320,1.0268,0.2687,0.7052,0.75,0.4498,0.8094,0.876,0.7188
winmin,log_linear,0.1,0.02,holdout,1,0.9244,0.1008,0.04249847710964327,1.1780872357387384,119,1.113,0.2101,0.5909,0.7983,0.3129,0.8824,0.9011,0.5798
winmin,stability_weighted,0.1,0.02,core,40,1.0,0.0406,0.07827715336860197,1.7333099927396345,320,1.4685,0.2531,0.9052,0.5844,0.6357,0.825,1.2814,0.3187
winmin,stability_weighted,0.1,0.02,holdout,1,1.0,0.042,0.0657224796391668,1.7544820896568063,119,1.5867,0.2185,0.9112,0.5882,0.5028,0.916,1.2838,0.2605
winmin,median_ensemble,0.1,0.02,core,40,1.0,0.025,0.08910309070977268,1.6903408291996747,320,1.4488,0.2469,0.9436,0.6219,0.6498,0.8719,1.2314,0.2594
