window_len,regime,is_holdout,target_g,noise,n_f,achieved_g,capped,precision,mean_gain,n
40,four_exp,0,0.1,0.02,631.0,0.09977805552230239,0,0.5294,-0.013868,20
40,power_law,0,0.1,0.02,2441.0,0.09997859122064488,0,0.55,0.003903,20
40,rational_decay,0,0.1,0.02,1125.0,0.09999999999999999,0,,0.0,20
40,mixed_pow_rat,0,0.1,0.02,2260.0,0.09998848741275486,0,0.1429,-0.035796,20
40,multiphase,0,0.1,0.02,3852.0,0.0999996544626016,0,0.55,-0.029524,20
40,osc_exp,0,0.1,0.02,165.0,0.09570953042125925,0,1.0,0.000162,20
40,damped_osc_pow,0,0.1,0.02,3014.0,0.09999319502597674,0,0.5,-0.022079,20
40,log_slow,0,0.1,0.02,50000.0,0.41863546463489004,1,0.65,-0.013474,20
40,delayed_plateau,0,0.1,0.02,321.0,0.09926115995627992,0,,0.0,20
40,staircase,0,0.1,0.02,320.0,0.0,0,,0.0,20
40,noisy_plateau,0,0.1,0.02,137.0,0.09536916221554956,0,0.55,-2.5e-05,20
40,slow_osc_power,0,0.1,0.02,3483.0,0.09996889692898078,0,0.2632,-0.013486,20
40,log_oscillatory,0,0.1,0.02,50000.0,0.2992564263745022,1,0.55,0.005393,20
40,heavy_noise_plat,0,0.1,0.02,114.0,0.09071795328941246,0,0.7,0.003945,20
40,broken_power_law,0,0.1,0.02,28776.0,0.09999962012267244,0,1.0,0.325192,20
40,stretched_exp,1,0.1,0.02,579.0,0.09979846505939677,0,0.2,-0.007914,20
40,logistic_tail,1,0.1,0.02,135.0,0.09609894819901184,0,,0.0,20
40,inv_sqrt_log,1,0.1,0.02,2929.0,0.09999046875803731,0,0.6,-0.013411,20
40,random_knots,1,0.1,0.02,4730.0,0.09999546250252596,1,0.3,-0.027406,20
40,real_boot_a,1,0.1,0.02,209.0,0.09859818176108498,0,0.5,-0.001144,20
40,real_boot_b,1,0.1,0.02,335.0,0.09918842288666796,0,0.0,-0.000233,20
60,single_exp,0,0.5,0.0,108.0,0.4867522559599715,0,,0.0,20
60,two_exp,0,0.5,0.0,129.0,0.4955914190433955,0,,0.0,20
60,three_exp,0,0.5,0.0,176.0,0.49876789415554024,0,,0.0,20
60,four_exp,0,0.5,0.0,231.0,0.4980680166164721,0,,0.0,20
60,power_law,0,0.5,0.0,244.0,0.4999340482202355,0,0.0,-0.000141,20
60,rational_decay,0,0.5,0.0,205.0,0.5,0,,0.0,20
60,mixed_pow_rat,0,0.5,0.0,254.0,0.4990202976120709,0,,0.0,20
60,multiphase,0,0.5,0.0,504.0,0.49983903719462197,0,,0.0,20
60,osc_exp,0,0.5,0.0,107.0,0.47832942079368884,0,,0.0,20
60,damped_osc_pow,0,0.5,0.0,260.0,0.49940767513390516,0,0.0,-0.000126,20
60,log_slow,0,0.5,0.0,8594.0,0.49999975284240333,0,0.0,-0.001611,20
60,delayed_plateau,0,0.5,0.0,160.0,0.49658484551706805,0,,0.0,20
60,staircase,0,0.5,0.0,170.0,0.2777777777777778,0,,0.0,20
60,noisy_plateau,0,0.5,0.0,104.0,0.4965853037914094,0,0.45,-0.000105,20
60,slow_osc_power,0,0.5,0.0,415.0,0.49840630355024784,0,,0.0,20
60,log_oscillatory,0,0.5,0.0,533.0,0.49841524754235217,0,0.0,-0.041076,20
60,heavy_noise_plat,0,0.5,0.0,97.0,0.49658530379140886,0,0.35,-2e-06,20
60,broken_power_law,0,0.5,0.0,514.0,0.49991211917454004,0,1.0,0.302941,20
60,stretched_exp,1,0.5,0.0,193.0,0.49828241532615414,0,,0.0,20
60,logistic_tail,1,0.5,0.0,105.0,0.47748855939048196,0,,0.0,20
60,inv_sqrt_log,1,0.5,0.0,245.0,0.4997783934707863,0,0.0,-7.8e-05,20
60,random_knots,1,0.5,0.0,314.5,0.49936083587279756,0,,0.0,20
60,real_boot_a,1,0.5,0.0,125.0,0.4970613452560541,0,,0.0,20
60,real_boot_b,1,0.5,0.0,151.0,0.49684018628925675,0,,0.0,20
60,single_exp,0,0.5,0.005,108.0,0.4867522559599715,0,,0.0,20
60,two_exp,0,0.5,0.005,129.0,0.4955914190433955,0,,0.0,20
60,three_exp,0,0.5,0.005,176.0,0.49876789415554024,0,,0.0,20
60,four_exp,0,0.5,0.005,231.0,0.4980680166164721,0,,0.0,20
