assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
half,median_ensemble,0.1,holdout,3,1.0,0.0084,0.02618840389853533,1.2513213833752732,357,0.72,0.577,0.779,0.7787,0.3545,0.9916,1.0227,0.4538
half,constant_assumed,0.1,core,120,1.0,0.1323,0.032157436434090206,1.0,960,1.0,0.0,0.4569,0.6823,0.3134,0.7417,0.6221,0.6198
half,constant_assumed,0.1,holdout,3,1.0,0.0616,0.03632730315393759,1.0,357,1.0,0.0,0.5402,0.6387,0.2932,0.7815,0.6406,0.5798
oracle,richardson_1,0.5,core,0,1.0,0.0407,0.017347082555162326,0.5669051142022373,1080,0.4439,0.6602,0.3764,0.7741,0.2257,0.8657,0.4347,0.7454
oracle,richardson_1,0.5,holdout,0,1.0,0.0083,0.010435953346883017,0.3554812534764371,360,0.2875,0.8083,0.2791,0.7861,0.1434,0.9972,0.3119,0.725
oracle,richardson_2,0.5,core,0,0.9926,0.0861,0.015963387818784577,0.6169623221034318,1080,0.4462,0.6537,0.3916,0.7778,0.2169,0.8352,0.4178,0.75
oracle,richardson_2,0.5,holdout,0,1.0,0.0083,0.00903810284682163,0.30754691978323423,360,0.2679,0.7944,0.256,0.7806,0.1176,0.9889,0.2908,0.7361
oracle,richardson_3,0.5,core,0,0.9843,0.0593,0.01610287929794195,0.6373210472069962,1080,0.444,0.6472,0.3902,0.7713,0.2149,0.813,0.4286,0.7398
oracle,richardson_3,0.5,holdout,0,0.9889,0.025,0.009401656677704873,0.29562598315060673,360,0.2541,0.7722,0.2422,0.75,0.1104,0.9667,0.2749,0.7028
oracle,single_exp_fit,0.5,core,0,1.0,0.0157,0.02139316270352015,0.9163412485562501,1080,0.6316,0.7444,0.4673,0.863,0.3205,0.863,0.4752,0.7759
oracle,single_exp_fit,0.5,holdout,0,1.0,0.025,0.014626145664021265,0.6609138900278484,360,0.5591,0.8972,0.5525,0.8778,0.1885,0.9806,0.6228,0.775
oracle,double_exp_fit,0.5,core,0,0.987,0.0296,0.016102866093600093,0.6924882148357212,1080,0.4902,0.7694,0.3282,0.8463,0.2876,0.8611,0.3649,0.7778
oracle,double_exp_fit,0.5,holdout,0,1.0,0.0222,0.011274652406137946,0.6609032853739911,360,0.5576,0.9,0.5341,0.8778,0.1773,0.9806,0.5814,0.7833
oracle,rational_fit,0.5,core,0,1.0,0.0222,0.016674500396909278,0.6104210811261752,1080,0.3926,0.7148,0.3184,0.8352,0.2209,0.8537,0.3655,0.7907
oracle,rational_fit,0.5,holdout,0,1.0,0.0139,0.006428717674939615,0.31434610010036235,360,0.2203,0.8056,0.203,0.7917,0.0984,0.9889,0.2721,0.7389
oracle,log_fit,0.5,core,0,1.0,0.0509,0.038547081669627586,1.2307144460601238,1080,0.9183,0.5417,0.7771,0.6176,0.5366,0.9278,0.8838,0.5519
oracle,log_fit,0.5,holdout,0,1.0,0.0306,0.03994219371563123,1.6063325806681683,360,1.0319,0.4917,1.0699,0.4833,0.5219,0.9972,1.4446,0.3833
oracle,log_linear,0.5,core,0,0.8259,0.212,0.01634944402476954,0.40322176631764095,1080,0.3186,0.7333,0.3186,0.7722,0.1661,0.7889,0.4032,0.7204
oracle,log_linear,0.5,holdout,0,0.925,0.075,0.009590458971025465,0.36208472145879955,360,0.2855,0.7583,0.2824,0.7528,0.1152,0.925,0.3568,0.7167
oracle,stability_weighted,0.5,core,0,1.0,0.0287,0.04535864679946429,1.1864488125031698,1080,0.996,0.5315,0.9394,0.6083,0.5203,0.8269,1.007,0.4972
oracle,stability_weighted,0.5,holdout,0,1.0,0.0167,0.028455559950663935,1.1109904130627168,360,0.8752,0.6083,0.8432,0.6667,0.2949,0.9583,1.0277,0.4806
oracle,median_ensemble,0.5,core,0,1.0,0.0139,0.03865195083556373,1.196058037785094,1080,0.9896,0.5704,0.9391,0.6778,0.515,0.8593,1.0232,0.4731
oracle,median_ensemble,0.5,holdout,0,1.0,0.0111,0.02032497588618029,1.051451567586251,360,0.9381,0.6778,0.8578,0.7417,0.2805,0.9917,1.0182,0.4833
