cat_mult,future_idx,method,stability,valid_rate,cat_rate,beats_rate
10.0,5000,current_value,1.0,1.0,0.0,0.0
10.0,5000,double_exp_fit,1.2319,0.9704,0.037,0.8389
10.0,5000,geom_avg_diff,-0.0902,0.6065,0.4278,0.3972
10.0,5000,levin_t1,1.1456,0.9778,0.0315,0.5769
10.0,5000,levin_t2,1.1233,0.9759,0.037,0.5537
10.0,5000,levin_u1,1.0787,0.9787,0.05,0.5
10.0,5000,levin_u2,1.11,0.9759,0.0361,0.5157
10.0,5000,levin_v1,1.1041,0.9778,0.0352,0.4917
10.0,5000,levin_v2,1.1106,0.9769,0.0361,0.5148
10.0,5000,linear,-1.8219,0.1574,0.9898,0.0009
10.0,5000,log_fit,1.2922,1.0,0.0139,0.8
10.0,5000,log_linear,0.6854,0.7898,0.2102,0.7898
10.0,5000,median_ensemble,1.2859,1.0,0.0046,0.738
10.0,5000,neville_2,-0.8352,0.5852,0.7546,0.2222
10.0,5000,neville_3,-1.1667,0.2704,0.7593,0.2037
10.0,5000,neville_4,-1.1778,0.2593,0.7593,0.2037
10.0,5000,pade_11,1.0172,0.9861,0.0676,0.4157
10.0,5000,pade_12,1.28,1.0,0.0194,0.7972
10.0,5000,pade_13,1.2711,1.0,0.0204,0.7796
10.0,5000,pade_21,-1.4667,0.3296,0.9019,0.0185
10.0,5000,pade_22,0.9248,0.9741,0.113,0.4417
10.0,5000,pade_23,1.2724,0.9991,0.0222,0.7944
10.0,5000,pade_31,-1.5389,0.4148,0.9806,0.0185
10.0,5000,pade_32,-1.365,0.375,0.8815,0.0574
10.0,5000,rational_fit,1.3322,1.0,0.0093,0.8769
10.0,5000,richardson_1,1.3326,1.0,0.0102,0.8824
10.0,5000,richardson_2,1.278,0.9991,0.0296,0.8454
10.0,5000,richardson_3,1.208,0.9898,0.0537,0.8139
10.0,5000,richardson_a05,1.1385,1.0,0.0602,0.6472
10.0,5000,richardson_a10,1.2852,1.0,0.0139,0.7824
10.0,5000,richardson_a20,1.2856,1.0,0.0028,0.7278
10.0,5000,shanks_1,1.2094,0.9991,0.0102,0.5769
10.0,5000,shanks_2,1.1731,0.9991,0.012,0.4954
10.0,5000,shanks_3,1.1774,1.0,0.012,0.5037
10.0,5000,shanks_4,1.1067,0.9796,0.0315,0.475
10.0,5000,single_exp_fit,1.3326,1.0,0.0074,0.8685
10.0,5000,stability_weighted,1.2822,1.0,0.013,0.7704
10.0,5000,weniger_d1,1.163,0.9667,0.0528,0.7546
10.0,5000,weniger_d2,1.1543,0.9639,0.0556,0.7537
10.0,5000,wynn_eps_1,1.1456,0.9778,0.0315,0.5769
10.0,5000,wynn_eps_2,1.0628,0.9583,0.0537,0.5296
10.0,5000,wynn_eps_3,1.08,0.9574,0.0491,0.5519
10.0,5000,wynn_rho_1,1.1028,0.9769,0.0324,0.4769
10.0,5000,wynn_rho_2,1.0872,0.9731,0.038,0.475
10.0,5000,wynn_rho_3,1.0791,0.9731,0.0417,0.4731
