L_inf_assumed,regime,future_idx,noise,precision,mean_gain,n
0.05,mixed_pow_rat,5000,0.0,,0.0,20
0.05,multiphase,5000,0.0,,0.0,20
0.05,osc_exp,5000,0.0,,0.0,20
0.05,damped_osc_pow,5000,0.0,,0.0,20
0.05,log_slow,5000,0.0,,0.0,20
0.05,delayed_plateau,5000,0.0,,0.0,20
0.05,staircase,5000,0.0,,0.0,20
0.05,noisy_plateau,5000,0.0,0.15,-0.000952,20
0.05,slow_osc_power,5000,0.0,,0.0,20
0.05,log_oscillatory,5000,0.0,0.0,-0.081057,20
0.05,heavy_noise_plat,5000,0.0,0.45,-0.000283,20
0.05,broken_power_law,5000,0.0,1.0,0.570121,20
0.05,single_exp,5000,0.005,,0.0,20
0.05,two_exp,5000,0.005,,0.0,20
0.05,three_exp,5000,0.005,,0.0,20
0.05,four_exp,5000,0.005,,0.0,20
0.05,power_law,5000,0.005,,0.0,20
0.05,rational_decay,5000,0.005,,0.0,20
0.05,mixed_pow_rat,5000,0.005,,0.0,20
0.05,multiphase,5000,0.005,,0.0,20
0.05,osc_exp,5000,0.005,,0.0,20
0.05,damped_osc_pow,5000,0.005,,0.0,20
0.05,log_slow,5000,0.005,,0.0,20
0.05,delayed_plateau,5000,0.005,,0.0,20
0.05,staircase,5000,0.005,,0.0,20
0.05,noisy_plateau,5000,0.005,0.1,-0.001225,20
0.05,slow_osc_power,5000,0.005,,0.0,20
0.05,log_oscillatory,5000,0.005,0.0,-0.080612,20
0.05,heavy_noise_plat,5000,0.005,0.25,-0.000258,20
0.05,broken_power_law,5000,0.005,1.0,0.570165,20
0.05,single_exp,5000,0.02,,0.0,20
0.05,two_exp,5000,0.02,,0.0,20
0.05,three_exp,5000,0.02,,0.0,20
0.05,four_exp,5000,0.02,,0.0,20
0.05,power_law,5000,0.02,0.55,0.003009,20
0.05,rational_decay,5000,0.02,,0.0,20
0.05,mixed_pow_rat,5000,0.02,,0.0,20
0.05,multiphase,5000,0.02,,0.0,20
0.05,osc_exp,5000,0.02,,0.0,20
0.05,damped_osc_pow,5000,0.02,0.25,-0.003147,20
0.05,log_slow,5000,0.02,0.3889,-0.012897,20
