dataset,obs_depth,target_round,selected_method,cascade_pred,true_val,cascade_err,richardson_err,rational_err,current_err,ref_error,ref_best_method,cascade_skill,improvement,perturb_iqr,L_hat,assumed_mode,nearest_regime,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv,phase2_features_path,phase2_features_rows,git_head
adult,60,500,richardson_1,0.21343961524793226,0.2729784847967337,0.05953886954880144,0.05953886954880144,0.02960214194756472,0.02484417954647211,0.02484417954647211,last_value,2.396491678762481,-1.396491678762481,0.0003929994856791963,0.0,zero,rational_decay,-0.17297699247905665,0.001955904457695719,0.0,5.919849330990672e-07,0.9612731479813429,0.007888885940542238,results\phase2\phase2_features.csv,23400,0375f24
adult,90,300,richardson_1,0.2699419313118539,0.2718139946260366,0.0018720633141827148,0.0018720633141827148,0.003147701048098861,0.014197687259839775,0.014197687259839775,last_value,0.1318569200688142,0.8681430799311858,0.006073345594081847,0.0,zero,rational_decay,-0.13305536018837355,0.002282935198135323,0.0,1.6573875892162373e-08,0.9838699531682699,0.001520359645217096,results\phase2\phase2_features.csv,23400,0375f24
adult,90,400,richardson_1,0.2682575504044312,0.272113009811212,0.0038554594067807813,0.0038554594067807813,0.005312504460865064,0.013898672074664387,0.013898672074664387,last_value,0.27739768130862097,0.722602318691379,0.007604764301470501,0.0,zero,rational_decay,-0.13305536018837355,0.002282935198135323,0.0,1.6573875892162373e-08,0.9838699531682699,0.001520359645217096,results\phase2\phase2_features.csv,23400,0375f24
adult,90,500,richardson_1,0.2672555406218107,0.2729784847967337,0.005722944174922973,0.005722944174922973,0.007299130561913336,0.01303319708914269,0.01303319708914269,last_value,0.4391051662750097,0.5608948337249904,0.008713129636152894,0.0,zero,rational_decay,-0.13305536018837355,0.002282935198135323,0.0,1.6573875892162373e-08,0.9838699531682699,0.001520359645217096,results\phase2\phase2_features.csv,23400,0375f24
adult,120,300,rational_fit,0.26630002109724754,0.2718139946260366,0.005513973528789073,0.006428440201372065,0.005513973528789073,0.0076436473457781595,0.0076436473457781595,last_value,0.7213798961872075,0.27862010381279245,0.001964183294060118,0.0,zero,rational_decay,-0.08970384085055569,0.0050605484430270116,0.0,1.3557614035139179e-08,0.9968256002682354,0.00041278092871714644,results\phase2\phase2_features.csv,23400,0375f24
adult,120,400,rational_fit,0.2638971946171631,0.272113009811212,0.008215815194048903,0.009634320797514362,0.008215815194048903,0.007344632160602771,0.007344632160602771,last_value,1.118614930522897,-0.11861493052289697,0.00228118560129692,0.0,zero,rational_decay,-0.08970384085055569,0.0050605484430270116,0.0,1.3557614035139179e-08,0.9968256002682354,0.00041278092871714644,results\phase2\phase2_features.csv,23400,0375f24
adult,120,500,rational_fit,0.2624245959958203,0.2729784847967337,0.010553888800913402,0.012396756547228494,0.010553888800913402,0.006479157175081074,0.006479157175081074,last_value,1.628898406956973,-0.628898406956973,0.0024819505477423065,0.0,zero,rational_decay,-0.08970384085055569,0.0050605484430270116,0.0,1.3557614035139179e-08,0.9968256002682354,0.00041278092871714644,results\phase2\phase2_features.csv,23400,0375f24
adult,150,300,rational_fit,0.2685256251715803,0.2718139946260366,0.003288369454456319,0.0023199374101153247,0.003288369454456319,0.004356717870203308,0.004356717870203308,last_value,0.7547813634998738,0.2452186365001262,0.001597694634400515,0.0,zero,multiphase,-0.06741882073782166,0.007746556569851559,0.0,8.604183184006533e-09,0.9891688869768535,0.00030068849581436533,results\phase2\phase2_features.csv,23400,0375f24
adult,150,400,rational_fit,0.26665462618888075,0.272113009811212,0.005458383622331253,0.0040854803832549025,0.005458383622331253,0.00405770268502792,0.00405770268502792,last_value,1.3451906278080834,-0.34519062780808346,0.002077649066599241,0.0,zero,multiphase,-0.06741882073782166,0.007746556569851559,0.0,8.604183184006533e-09,0.9891688869768535,0.00030068849581436533,results\phase2\phase2_features.csv,23400,0375f24
adult,150,500,rational_fit,0.2655303392132892,0.2729784847967337,0.0074481455834444765,0.005784058025512795,0.0074481455834444765,0.0031922276995062226,0.0031922276995062226,last_value,2.3332125037936873,-1.3332125037936875,0.0023669327240199434,0.0,zero,multiphase,-0.06741882073782166,0.007746556569851559,0.0,8.604183184006533e-09,0.9891688869768535,0.00030068849581436533,results\phase2\phase2_features.csv,23400,0375f24
jannis,30,300,rational_fit,0.6447769307843744,0.6937566748192046,0.048979744034830186,0.0023339521286883658,0.048979744034830186,0.13287862332027622,0.13287862332027622,last_value,0.36860514363378616,0.6313948563662138,0.007497427331163875,0.0,zero,multiphase,-0.09330218375812799,0.002199394958884064,0.0,2.802389665831695e-07,0.9329327193757733,0.003696705414839229,results\phase2\phase2_features.csv,23400,0375f24
jannis,30,400,rational_fit,0.6364037217003806,0.6907154220228485,0.054311700322467904,0.016828867308764872,0.054311700322467904,0.13591987611663225,0.13591987611663225,last_value,0.39958615232891526,0.6004138476710847,0.008517308415019853,0.0,zero,multiphase,-0.09330218375812799,0.002199394958884064,0.0,2.802389665831695e-07,0.9329327193757733,0.003696705414839229,results\phase2\phase2_features.csv,23400,0375f24
jannis,30,500,rational_fit,0.6312332384664652,0.6895512489191259,0.05831801045266072,0.028959931350702295,0.05831801045266072,0.1370840492203549,0.1370840492203549,last_value,0.4254179153908549,0.5745820846091452,0.009168405206926744,0.0,zero,multiphase,-0.09330218375812799,0.002199394958884064,0.0,2.802389665831695e-07,0.9329327193757733,0.003696705414839229,results\phase2\phase2_features.csv,23400,0375f24
