round,covertype,higgs,adult,jannis,miniboone,bank_marketing
86,0.5158314351369929,0.5501599000233061,0.2868295456899609,0.7331361000165241,0.16974317417956758,0.2091191421004883
87,0.5147142588432042,0.5498236742994308,0.28653541262164234,0.7325484729742058,0.16922928397142206,0.2089076943030344
88,0.513625396025039,0.5496091264033617,0.28622323400487315,0.7318219110026449,0.1687856714570014,0.20884213258093567
89,0.5124660136891709,0.5493415262804674,0.2860116818858764,0.7311150101202838,0.16827728524735733,0.20881109928120994
90,0.5113779041473822,0.5488733016790358,0.2856899505571787,0.7305980374475034,0.16783585498851353,0.20854097813019537
91,0.5101547947497805,0.5486812763849785,0.2854129096606287,0.7299899057583985,0.16742024495620927,0.20836185562544035
92,0.5089933138363826,0.5484023207248641,0.28503505037638943,0.7294720197899495,0.16704871880489316,0.20820607628669094
93,0.5078956534994011,0.5480186492160973,0.284888110710716,0.7288396866401968,0.16664536530816093,0.20777507428447306
94,0.5067633073433775,0.5478183911950886,0.2845896165050772,0.7283510059223265,0.16616484839438941,0.20758062219260612
95,0.5057890003578859,0.5475290316692281,0.2841800520674564,0.727747051910833,0.165762478208317,0.20732422705804515
96,0.5046819782653361,0.5473685190940256,0.283998800880352,0.7271160280712128,0.16535863228547829,0.2071526355326796
97,0.5034585696021487,0.5472298624020588,0.2837553976483762,0.7265805339675605,0.16499542780630264,0.20710195341777976
98,0.5024662381056584,0.5469785443739372,0.28357881970908283,0.7260069609508176,0.1646300091608363,0.2069054065924076
99,0.5016011171349142,0.5467482446203239,0.2833881672253303,0.725338934965106,0.1642292692048614,0.2067790599353725
100,0.5007332069560388,0.5465447047457463,0.2832200902400521,0.724795929825081,0.16381049905905787,0.2067194855431454
101,0.49973690509267177,0.5462070174221746,0.2830887815249804,0.7243040594440094,0.16341266760299564,0.20643951400047145
102,0.49882310373553296,0.5458442829246312,0.2828480695683289,0.7239200247019786,0.1630066236577128,0.20637935331005752
103,0.4978925236365553,0.5456061301246657,0.28277796962070506,0.7233647347242218,0.16269965258479807,0.2062929427344115
104,0.49699930177281443,0.5454166502736923,0.2826094035465958,0.7228214996949465,0.16234140330728672,0.2059688516202729
105,0.496089329273103,0.5451624912553178,0.2824188074968538,0.7222661898174617,0.16199996343478226,0.2057207618701597
106,0.4952344392153631,0.5449962674066888,0.2821080467866243,0.7217044948769347,0.1617159009552561,0.20545044310267518
107,0.4943918042645102,0.5448276414961944,0.28179580697655654,0.721300553630555,0.1613482178717086,0.20521363568579054
108,0.49334445825632556,0.544612518270642,0.2815426913053489,0.7208311398635237,0.1609648846185736,0.2047497925037195
109,0.4926252483216026,0.5444355372360383,0.28132895810083614,0.7205078129606507,0.16067363523113923,0.2047271661383905
110,0.49189490854619156,0.5442803182846723,0.2811672317589104,0.7200199799921252,0.16030858467458578,0.2044921406347986
111,0.4909839786558177,0.5441377717671059,0.280831539870761,0.7195775138247931,0.16009012379003706,0.20443666612936282
112,0.4901545711546163,0.5440124235723371,0.2806949832965074,0.7192540501395128,0.1598419684012765,0.20423347659693655
113,0.48926071871080423,0.5437211565140488,0.2805138879301613,0.7187703769059995,0.15961732649504756,0.2039766128295431
114,0.4883223245966104,0.5435429565023397,0.2803381845127876,0.7183392830788083,0.15937119602185068,0.2037950311011024
115,0.48757817913216916,0.5434217974321308,0.2801782219156479,0.7179368222405377,0.15915913736985693,0.20380210402030247
116,0.4869565644386822,0.5433297384179813,0.2800050232748586,0.7176117568690626,0.15894878563307324,0.20369862998204374
117,0.4862962477866266,0.5431777305670238,0.27983955538200345,0.7172283102577659,0.15863951111640173,0.20366294353462555
118,0.4856081486637304,0.5430455509308214,0.27969190832176705,0.716801943955651,0.15845680314041746,0.20357731854429853
119,0.4847745398321581,0.542910650896012,0.27945764197181483,0.7163566859570147,0.15821281647168886,0.2034453878708655
120,0.48409583178960974,0.542777920310461,0.27921494959095633,0.7158255831597002,0.15792379731947112,0.20341336284303238
121,0.4834358430709131,0.542578415366717,0.27909499170385055,0.7154464223866166,0.15772282885834726,0.20325953973299696
