method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
neville_4,90,0.02,0.0403,1440,0,0,1
neville_4,120,0.0,0.8931,1440,0,0,1
neville_4,120,0.005,0.0556,1440,0,0,1
neville_4,120,0.02,0.034,1440,0,0,1
pade_11,30,0.0,0.9993,1440,0,0,0
pade_11,30,0.005,1.0,1440,0,0,0
pade_11,30,0.02,0.9035,1440,0,0,0
pade_11,60,0.0,0.9722,1440,0,0,0
pade_11,60,0.005,0.9694,1440,0,0,0
pade_11,60,0.02,0.9306,1440,0,0,0
pade_11,90,0.0,1.0,1440,0,0,0
pade_11,90,0.005,0.9854,1440,0,0,0
pade_11,90,0.02,0.9458,1440,0,0,0
pade_11,120,0.0,1.0,1440,0,0,0
pade_11,120,0.005,0.9708,1440,0,0,0
pade_11,120,0.02,0.9951,1440,0,0,0
pade_12,30,0.0,0.9799,1440,0,0,0
pade_12,30,0.005,0.9875,1440,0,0,0
pade_12,30,0.02,0.9993,1440,0,0,0
pade_12,60,0.0,0.9979,1440,0,0,0
pade_12,60,0.005,0.9757,1440,0,0,0
pade_12,60,0.02,0.9965,1440,0,0,0
pade_12,90,0.0,0.9903,1440,0,0,0
pade_12,90,0.005,0.9938,1440,0,0,0
pade_12,90,0.02,0.9938,1440,0,0,0
pade_12,120,0.0,0.9958,1440,0,0,0
pade_12,120,0.005,1.0,1440,0,0,0
pade_12,120,0.02,0.9951,1440,0,0,0
pade_13,30,0.0,0.9868,1440,0,0,0
pade_13,30,0.005,0.9556,1440,0,0,0
pade_13,30,0.02,0.9611,1440,0,0,0
pade_13,60,0.0,0.9896,1440,0,0,0
pade_13,60,0.005,0.9812,1440,0,0,0
pade_13,60,0.02,0.9771,1440,0,0,0
pade_13,90,0.0,0.9882,1440,0,0,0
pade_13,90,0.005,0.9847,1440,0,0,0
pade_13,90,0.02,0.9847,1440,0,0,0
pade_13,120,0.0,0.9882,1440,0,0,0
pade_13,120,0.005,0.9889,1440,0,0,0
pade_13,120,0.02,0.9868,1440,0,0,0
pade_21,30,0.0,0.6958,1440,0,0,1
pade_21,30,0.005,0.9451,1440,0,0,1
pade_21,30,0.02,0.2521,1440,0,0,1
pade_21,60,0.0,0.6153,1440,0,0,1
pade_21,60,0.005,0.7819,1440,0,0,1
pade_21,60,0.02,0.2444,1440,0,0,1
pade_21,90,0.0,0.7896,1440,0,0,1
pade_21,90,0.005,0.5111,1440,0,0,1
pade_21,90,0.02,0.5507,1440,0,0,1
pade_21,120,0.0,0.7986,1440,0,0,1
pade_21,120,0.005,0.5847,1440,0,0,1
pade_21,120,0.02,0.6069,1440,0,0,1
pade_22,30,0.0,0.9708,1440,0,0,0
pade_22,30,0.005,0.9889,1440,0,0,0
pade_22,30,0.02,0.9889,1440,0,0,0
pade_22,60,0.0,0.9972,1440,0,0,0
pade_22,60,0.005,0.9931,1440,0,0,0
pade_22,60,0.02,0.9785,1440,0,0,0
pade_22,90,0.0,0.9618,1440,0,0,0
pade_22,90,0.005,0.9194,1440,0,0,0
pade_22,90,0.02,0.9215,1440,0,0,0
pade_22,120,0.0,1.0,1440,0,0,0
pade_22,120,0.005,0.966,1440,0,0,0
pade_22,120,0.02,0.9833,1440,0,0,0
pade_23,30,0.0,0.9986,1440,0,0,0
pade_23,30,0.005,0.9806,1440,0,0,0
pade_23,30,0.02,0.9958,1440,0,0,0
pade_23,60,0.0,0.9979,1440,0,0,0
pade_23,60,0.005,0.9681,1440,0,0,0
pade_23,60,0.02,0.9958,1440,0,0,0
pade_23,90,0.0,0.9917,1440,0,0,0
pade_23,90,0.005,0.9965,1440,0,0,0
pade_23,90,0.02,0.9903,1440,0,0,0
pade_23,120,0.0,0.9979,1440,0,0,0
pade_23,120,0.005,1.0,1440,0,0,0
pade_23,120,0.02,0.9965,1440,0,0,0
pade_31,30,0.0,0.616,1440,0,0,1
pade_31,30,0.005,0.5201,1440,0,0,1
pade_31,30,0.02,0.6222,1440,0,0,1
pade_31,60,0.0,0.7056,1440,0,0,1
pade_31,60,0.005,0.4069,1440,0,0,1
pade_31,60,0.02,0.6701,1440,0,0,1
pade_31,90,0.0,0.8035,1440,0,0,1
pade_31,90,0.005,0.7382,1440,0,0,1
pade_31,90,0.02,0.7118,1440,0,0,1
pade_31,120,0.0,0.8486,1440,0,0,1
pade_31,120,0.005,0.7729,1440,0,0,1
pade_31,120,0.02,0.6951,1440,0,0,1
pade_32,30,0.0,0.7181,1440,0,0,1
pade_32,30,0.005,0.7861,1440,0,0,1
pade_32,30,0.02,0.4986,1440,0,0,1
pade_32,60,0.0,0.7611,1440,0,0,1
pade_32,60,0.005,0.8069,1440,0,0,1
pade_32,60,0.02,0.6257,1440,0,0,1
pade_32,90,0.0,0.884,1440,0,0,1
pade_32,90,0.005,0.5069,1440,0,0,1
pade_32,90,0.02,0.5361,1440,0,0,1
pade_32,120,0.0,0.8424,1440,0,0,1
pade_32,120,0.005,0.5528,1440,0,0,1
pade_32,120,0.02,0.6014,1440,0,0,1
rational_fit,30,0.0,1.0,1440,0,0,0
rational_fit,30,0.005,1.0,1440,0,0,0
rational_fit,30,0.02,1.0,1440,0,0,0
rational_fit,60,0.0,1.0,1440,0,0,0
rational_fit,60,0.005,1.0,1440,0,0,0
rational_fit,60,0.02,1.0,1440,0,0,0
rational_fit,90,0.0,1.0,1440,0,0,0
rational_fit,90,0.005,1.0,1440,0,0,0
rational_fit,90,0.02,1.0,1440,0,0,0
rational_fit,120,0.0,1.0,1440,0,0,0
rational_fit,120,0.005,1.0,1440,0,0,0
rational_fit,120,0.02,1.0,1440,0,0,0
richardson_1,30,0.0,1.0,1440,0,0,0
richardson_1,30,0.005,1.0,1440,0,0,0
richardson_1,30,0.02,1.0,1440,0,0,0
richardson_1,60,0.0,1.0,1440,0,0,0
richardson_1,60,0.005,1.0,1440,0,0,0
richardson_1,60,0.02,1.0,1440,0,0,0
richardson_1,90,0.0,1.0,1440,0,0,0
richardson_1,90,0.005,1.0,1440,0,0,0
richardson_1,90,0.02,1.0,1440,0,0,0
richardson_1,120,0.0,1.0,1440,0,0,0
richardson_1,120,0.005,1.0,1440,0,0,0
richardson_1,120,0.02,1.0,1440,0,0,0
richardson_2,30,0.0,1.0,1440,0,0,0
richardson_2,30,0.005,1.0,1440,0,0,0
richardson_2,30,0.02,1.0,1440,0,0,0
richardson_2,60,0.0,1.0,1440,0,0,0
richardson_2,60,0.005,1.0,1440,0,0,0
richardson_2,60,0.02,1.0,1440,0,0,0
richardson_2,90,0.0,0.975,1440,0,0,0
richardson_2,90,0.005,1.0,1440,0,0,0
richardson_2,90,0.02,1.0,1440,0,0,0
richardson_2,120,0.0,0.9958,1440,0,0,0
richardson_2,120,0.005,1.0,1440,0,0,0
richardson_2,120,0.02,1.0,1440,0,0,0
richardson_3,30,0.0,0.3479,1440,0,0,0
richardson_3,30,0.005,0.5042,1440,0,0,0
richardson_3,30,0.02,0.5917,1440,0,0,0
richardson_3,60,0.0,0.5333,1440,0,0,0
richardson_3,60,0.005,0.5646,1440,0,0,0
richardson_3,60,0.02,0.65,1440,0,0,0
richardson_3,90,0.0,0.9562,1440,0,0,0
richardson_3,90,0.005,0.9896,1440,0,0,0
richardson_3,90,0.02,0.9958,1440,0,0,0
richardson_3,120,0.0,0.9979,1440,0,0,0
richardson_3,120,0.005,1.0,1440,0,0,0
richardson_3,120,0.02,1.0,1440,0,0,0
richardson_a05,30,0.0,1.0,1440,0,0,0
richardson_a05,30,0.005,1.0,1440,0,0,0
richardson_a05,30,0.02,1.0,1440,0,0,0
richardson_a05,60,0.0,1.0,1440,0,0,0
richardson_a05,60,0.005,1.0,1440,0,0,0
richardson_a05,60,0.02,1.0,1440,0,0,0
richardson_a05,90,0.0,1.0,1440,0,0,0
richardson_a05,90,0.005,1.0,1440,0,0,0
richardson_a05,90,0.02,1.0,1440,0,0,0
richardson_a05,120,0.0,1.0,1440,0,0,0
richardson_a05,120,0.005,1.0,1440,0,0,0
richardson_a05,120,0.02,1.0,1440,0,0,0
richardson_a10,30,0.0,1.0,1440,0,0,0
richardson_a10,30,0.005,1.0,1440,0,0,0
richardson_a10,30,0.02,1.0,1440,0,0,0
richardson_a10,60,0.0,1.0,1440,0,0,0
richardson_a10,60,0.005,1.0,1440,0,0,0
richardson_a10,60,0.02,1.0,1440,0,0,0
richardson_a10,90,0.0,1.0,1440,0,0,0
richardson_a10,90,0.005,1.0,1440,0,0,0
richardson_a10,90,0.02,1.0,1440,0,0,0
richardson_a10,120,0.0,1.0,1440,0,0,0
richardson_a10,120,0.005,1.0,1440,0,0,0
richardson_a10,120,0.02,1.0,1440,0,0,0
richardson_a20,30,0.0,1.0,1440,0,0,0
richardson_a20,30,0.005,1.0,1440,0,0,0
richardson_a20,30,0.02,1.0,1440,0,0,0
richardson_a20,60,0.0,1.0,1440,0,0,0
richardson_a20,60,0.005,1.0,1440,0,0,0
richardson_a20,60,0.02,1.0,1440,0,0,0
richardson_a20,90,0.0,1.0,1440,0,0,0
richardson_a20,90,0.005,1.0,1440,0,0,0
richardson_a20,90,0.02,1.0,1440,0,0,0
richardson_a20,120,0.0,1.0,1440,0,0,0
richardson_a20,120,0.005,1.0,1440,0,0,0
richardson_a20,120,0.02,1.0,1440,0,0,0
shanks_1,30,0.0,1.0,1440,0,0,0
shanks_1,30,0.005,1.0,1440,0,0,0
shanks_1,30,0.02,0.9958,1440,0,0,0
shanks_1,60,0.0,1.0,1440,0,0,0
shanks_1,60,0.005,1.0,1440,0,0,0
shanks_1,60,0.02,0.9979,1440,0,0,0
shanks_1,90,0.0,1.0,1440,0,0,0
shanks_1,90,0.005,1.0,1440,0,0,0
