regime,is_holdout,target_g,n_capped_excluded,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
delayed_plateau,0,0.02,0,equal_ensemble_49,0,0,0.261708,0.244411,8.0877,240,8.0877,0.1875,0.9864,0.7333,0.7006,1.0,1.0058,0.425
delayed_plateau,0,0.02,0,equal_ensemble_safe,0,0,0.260999,0.244411,8.0872,240,8.0872,0.1875,0.9864,0.7542,0.7003,1.0,1.004,0.4542
delayed_plateau,0,0.02,0,diag_ensemble_9,0,0,0.229852,0.223324,6.807,240,6.807,0.0667,0.7212,0.9792,0.504,0.9917,0.7573,0.9542
delayed_plateau,0,0.02,0,equal_ensemble_9,0,0,0.226833,0.217788,6.2198,240,6.2198,0.1167,0.7959,0.9833,0.5549,1.0,0.7959,0.925
delayed_plateau,0,0.02,0,phase2_cascade,0,0,0.192058,0.179015,5.8878,240,5.8878,0.1625,0.5596,0.9833,0.4371,1.0,0.6142,0.9792
delayed_plateau,0,0.02,0,fixed_rational,0,0,0.133235,0.049959,3.5864,240,3.5864,0.2792,0.2174,1.0,0.158,1.0,0.2252,1.0
delayed_plateau,0,0.02,0,fixed_richardson,0,0,0.190333,0.179015,5.8878,240,5.8878,0.1625,0.5535,0.9833,0.4371,1.0,0.6075,0.9792
delayed_plateau,0,0.02,0,current_value,0,0,0.304887,0.280091,11.1282,240,11.1282,0.025,1.0,0.0,0.7098,1.0,1.0,0.0
delayed_plateau,0,0.02,0,constant_assumed,1,0,0.051981,0.022374,1.0,240,1.0,0.0,0.0899,0.975,0.0634,0.9875,0.0915,0.975
delayed_plateau,0,0.02,0,constant_oracle,1,1,0.006178,0.005786,0.2255,240,0.2255,1.0,0.0202,1.0,0.0144,1.0,0.0204,1.0
delayed_plateau,0,0.02,0,window_mean,1,0,0.399103,0.413001,15.7895,240,15.7895,0.0125,1.4088,0.0,1.0,0.0,1.4343,0.0
delayed_plateau,0,0.02,0,window_min,1,0,0.296773,0.263141,10.9278,240,10.9278,0.025,1.0,0.4375,0.6972,1.0,1.0,0.0
delayed_plateau,0,0.02,0,last_value,1,0,0.304887,0.280091,11.1282,240,11.1282,0.025,1.0,0.0,0.7098,1.0,1.0,0.0
delayed_plateau,0,0.1,0,oracle_49,0,0,0.019541,0.008977,0.1737,240,0.1737,0.9458,0.0403,1.0,0.0279,1.0,0.0424,1.0
delayed_plateau,0,0.1,0,oracle_9,0,0,0.089405,0.028471,0.5498,240,0.5498,0.6583,0.1199,1.0,0.0856,1.0,0.125,1.0
delayed_plateau,0,0.1,0,threshold_ens_010,0,0,0.242103,0.218678,4.3179,240,4.3179,0.1875,0.9852,0.7375,0.6821,1.0,1.0064,0.4417
delayed_plateau,0,0.1,0,threshold_ens_050,0,0,0.242023,0.218559,4.3167,240,4.3167,0.1875,0.9852,0.7417,0.6826,1.0,1.0058,0.4458
delayed_plateau,0,0.1,0,threshold_ens_safe,0,0,0.241755,0.218707,4.3167,240,4.3167,0.1875,0.9852,0.7417,0.6826,1.0,1.0065,0.4458
delayed_plateau,0,0.1,0,capped_diag_49,0,0,0.226565,0.242411,3.7615,240,3.7615,0.1333,0.8288,0.95,0.5729,0.9958,0.8537,0.9083
delayed_plateau,0,0.1,0,capped_diag_safe,0,0,0.224781,0.222354,3.7775,240,3.7775,0.1167,0.7913,0.9708,0.5439,0.9958,0.8451,0.9417
delayed_plateau,0,0.1,0,diag_ensemble_49,0,0,0.226565,0.242411,3.7615,240,3.7615,0.1333,0.8288,0.95,0.5729,0.9958,0.8537,0.9083
delayed_plateau,0,0.1,0,diag_ensemble_safe,0,0,0.224781,0.222354,3.7775,240,3.7775,0.1167,0.7913,0.9708,0.5439,0.9958,0.8451,0.9417
delayed_plateau,0,0.1,0,equal_ensemble_49,0,0,0.241605,0.218494,4.4054,240,4.4054,0.1875,0.9852,0.7333,0.6829,1.0,1.0064,0.4292
